,dom_02.png,dom_03.png,dom_04.png,dom_05.png,dom_06.png,dom_07.png,dom_09.png,dom_10.png,matt_01.png,matt_02.png,matt_03.png,matt_04.png,matt_06.png,matt_08.png,matt_09.png,matt_10.png,matt_02.png,dom_07.png
dom_02.png,0.0,447.532,169.106,64.0,139.284,188.0,632.918,204.24,349.693,95.0,148.977,287.007,289.836,544.979,176.051,229.107,95.0,188.0
dom_03.png,447.532,0.0,609.59,508.957,465.0,274.002,192.01,272.002,104.0,358.022,364.001,192.416,170.0,102.044,540.001,606.067,358.022,274.002
dom_04.png,169.106,609.59,0.0,105.171,183.153,357.05,798.01,348.001,508.378,264.068,265.452,456.018,444.815,709.104,140.631,137.364,264.068,357.05
dom_05.png,64.0,508.957,105.171,0.0,136.499,252.0,695.639,256.223,409.542,159.0,185.348,351.006,347.846,607.297,143.618,183.505,159.0,252.0
dom_06.png,139.284,465.0,183.153,136.499,0.0,262.739,657.003,193.003,361.0,188.799,101.005,350.783,295.0,567.008,75.007,141.287,188.799,262.739
dom_07.png,188.0,274.002,357.05,252.0,262.739,0.0,450.76,137.033,190.213,93.0,183.984,99.02,150.722,365.297,329.888,393.876,93.0,0.0
dom_09.png,632.918,192.01,798.01,695.639,657.003,450.76,0.0,464.001,296.007,540.37,556.008,356.545,362.006,90.006,732.006,798.076,540.37,450.76
dom_10.png,204.24,272.002,348.001,256.223,193.003,137.033,464.001,0.0,168.003,145.908,92.022,185.97,102.005,374.005,268.007,334.15,145.908,137.033
matt_01.png,349.693,104.0,508.378,409.542,361.0,190.213,296.007,168.003,0.0,264.462,260.002,136.821,66.0,206.022,436.001,502.081,264.462,190.213
matt_02.png,95.0,358.022,264.068,159.0,188.799,93.0,540.37,145.908,264.462,0.0,138.741,192.01,210.238,453.34,247.97,309.071,0.0,93.0
matt_03.png,148.977,364.001,265.452,185.348,101.005,183.984,556.008,92.022,260.002,138.741,0.0,260.509,194.003,466.017,176.0,242.132,138.741,183.984
matt_04.png,287.007,192.416,456.018,351.006,350.783,99.02,356.545,185.97,136.821,192.01,260.509,0.0,135.366,274.235,421.532,486.864,192.01,99.02
matt_06.png,289.836,170.0,444.815,347.846,295.0,150.722,362.006,102.005,66.0,210.238,194.003,135.366,0.0,272.017,370.001,436.093,210.238,150.722
matt_08.png,544.979,102.044,709.104,607.297,567.008,365.297,90.006,374.005,206.022,453.34,466.017,274.235,272.017,0.0,642.012,708.102,453.34,365.297
matt_09.png,176.051,540.001,140.631,143.618,75.007,329.888,732.006,268.007,436.001,247.97,176.0,421.532,370.001,642.012,0.0,66.483,247.97,329.888
matt_10.png,229.107,606.067,137.364,183.505,141.287,393.876,798.076,334.15,502.081,309.071,242.132,486.864,436.093,708.102,66.483,0.0,309.071,393.876
matt_02.png,95.0,358.022,264.068,159.0,188.799,93.0,540.37,145.908,264.462,0.0,138.741,192.01,210.238,453.34,247.97,309.071,0.0,93.0
dom_07.png,188.0,274.002,357.05,252.0,262.739,0.0,450.76,137.033,190.213,93.0,183.984,99.02,150.722,365.297,329.888,393.876,93.0,0.0
