,omer_01.png,omer_02.png,omer_03.png,omer_04.png,omer_05.png,omer_06.png,omer_07.png,omer_08.png,omer_09.png,omer_10.png,tal_01.png,tal_02.png,tal_03.png,tal_04.png,tal_05.png,tal_06.png,tal_07.png,tal_08.png,tal_09.png,tal_10.png
omer_01.png,0.0,456.396,336.382,714.253,196.42,526.004,486.36,664.549,417.695,177.725,278.95,123.762,764.155,569.242,252.242,375.971,745.161,167.027,671.34,806.422
omer_02.png,456.396,0.0,220.907,258.0,380.539,72.035,136.092,208.154,159.656,281.256,178.045,335.073,307.86,168.119,290.766,81.394,305.915,476.564,243.002,359.344
omer_03.png,336.382,220.907,0.0,447.2,187.003,286.323,169.425,397.472,93.134,179.402,144.679,221.635,487.305,254.071,93.771,162.754,436.073,289.0,359.013,502.673
omer_04.png,714.253,258.0,447.2,0.0,626.49,188.767,287.237,50.636,358.734,539.134,436.018,593.041,54.129,219.973,532.655,339.094,140.698,726.24,158.095,145.89
omer_05.png,196.42,380.539,187.003,626.49,0.0,451.815,356.17,576.023,280.029,152.069,224.45,140.911,669.582,441.028,94.641,303.679,623.039,102.005,546.004,689.453
omer_06.png,526.004,72.035,286.323,188.767,451.815,0.0,166.235,140.246,213.263,352.196,248.888,405.71,240.352,160.253,361.024,153.056,255.838,548.41,204.619,301.902
omer_07.png,486.36,136.092,169.425,287.237,356.17,166.235,0.0,239.985,76.322,311.724,225.639,363.65,322.448,85.212,262.0,154.208,267.03,458.157,190.213,333.294
omer_08.png,664.549,208.154,397.472,50.636,576.023,140.246,239.985,0.0,309.945,489.016,386.021,543.001,100.13,178.55,482.296,289.0,146.697,675.663,137.615,172.905
omer_09.png,417.695,159.656,93.134,358.734,280.029,213.263,76.322,309.945,0.0,247.51,175.414,296.971,396.59,161.003,186.132,135.37,343.013,382.033,266.008,409.539
omer_10.png,177.725,281.256,179.402,539.134,152.069,352.196,311.724,489.016,247.51,0.0,103.31,54.231,588.103,393.117,126.301,200.04,567.62,219.272,494.232,628.698
tal_01.png,278.95,178.045,144.679,436.018,224.45,248.888,225.639,386.021,175.414,103.31,0.0,157.029,485.372,301.443,153.834,97.082,470.102,310.421,398.761,529.32
tal_02.png,123.762,335.073,221.635,593.041,140.911,405.71,363.65,543.001,296.971,54.231,157.029,0.0,642.199,445.926,150.748,254.002,621.4,183.861,547.671,682.755
tal_03.png,764.155,307.86,487.305,54.129,669.582,240.352,322.448,100.13,396.59,588.103,485.372,642.199,0.0,247.487,575.209,388.29,122.123,770.211,165.614,103.74
tal_04.png,569.242,168.119,254.071,219.973,441.028,160.253,85.212,178.55,161.003,393.117,301.443,445.926,247.487,0.0,347.052,217.249,182.011,543.033,105.043,248.805
tal_05.png,252.242,290.766,93.771,532.655,94.641,361.024,262.0,482.296,186.132,126.301,153.834,150.748,575.209,347.052,0.0,217.624,529.015,196.367,452.09,595.165
tal_06.png,375.971,81.394,162.754,339.094,303.679,153.056,154.208,289.0,135.37,200.04,97.082,254.002,388.29,217.249,217.624,0.0,376.873,397.472,308.131,434.232
tal_07.png,745.161,305.915,436.073,140.698,623.039,255.838,267.03,146.697,343.013,567.62,470.102,621.4,122.123,182.011,529.015,376.873,0.0,725.044,77.162,68.411
tal_08.png,167.027,476.564,289.0,726.24,102.005,548.41,458.157,675.663,382.033,219.272,310.421,183.861,770.211,543.033,196.367,397.472,725.044,0.0,648.007,791.427
tal_09.png,671.34,243.002,359.013,158.095,546.004,204.619,190.213,137.615,266.008,494.232,398.761,547.671,165.614,105.043,452.09,308.131,77.162,648.007,0.0,144.838
tal_10.png,806.422,359.344,502.673,145.89,689.453,301.902,333.294,172.905,409.539,628.698,529.32,682.755,103.74,248.805,595.165,434.232,68.411,791.427,144.838,0.0
