,taz_01.png,taz_02.png,taz_03.png,taz_04.png,taz_05.png,taz_06.png,taz_07.png,taz_08.png,taz_09.png,taz_10.png,tess_01.png,tess_02.png,tess_03.png,tess_04.png,tess_05.png,tess_06.png,tess_07.png
taz_01.png,0.0,325.641,448.004,81.025,727.083,553.004,368.012,133.034,160.078,232.8,570.251,709.159,651.062,152.948,494.398,198.04,272.017
taz_02.png,325.641,0.0,195.78,401.947,450.315,283.981,148.946,302.026,207.01,113.534,256.008,396.182,378.085,367.087,178.003,160.705,134.733
taz_03.png,448.004,195.78,0.0,529.015,279.303,105.0,80.156,469.64,378.652,296.122,167.601,283.425,203.298,533.368,131.244,250.008,176.071
taz_04.png,81.025,401.947,529.015,0.0,808.05,634.013,449.001,155.913,218.215,302.412,649.758,789.066,732.033,139.607,573.4,279.065,353.001
taz_05.png,727.083,450.315,279.303,808.05,0.0,174.485,359.089,744.067,650.683,561.678,223.043,155.332,76.026,808.659,287.021,529.213,455.07
taz_06.png,553.004,283.981,105.0,634.013,174.485,0.0,185.068,571.224,478.709,392.088,129.016,198.708,98.615,635.505,148.862,355.006,281.044
taz_07.png,368.012,148.946,80.156,449.001,359.089,185.068,0.0,395.142,306.809,231.458,230.054,357.302,283.064,457.926,171.959,170.144,96.0
taz_08.png,133.034,302.026,469.64,155.913,744.067,571.224,395.142,0.0,95.021,189.13,558.004,698.046,669.238,65.123,480.009,238.835,306.791
taz_09.png,160.078,207.01,378.652,218.215,650.683,478.709,306.809,95.021,0.0,94.43,463.0,603.083,576.265,160.112,385.001,165.424,224.401
taz_10.png,232.8,113.534,296.122,302.412,561.678,392.088,231.458,189.13,94.43,0.0,369.11,509.001,488.289,254.018,291.172,136.528,166.868
tess_01.png,570.251,256.008,167.601,649.758,223.043,129.016,230.054,558.004,463.0,369.11,0.0,140.357,169.753,623.029,78.006,378.917,313.121
tess_02.png,709.159,396.182,283.425,789.066,155.332,198.708,357.302,698.046,603.083,509.001,140.357,0.0,156.32,763.01,218.277,515.537,446.839
tess_03.png,651.062,378.085,203.298,732.033,76.026,98.615,283.064,669.238,576.265,488.289,169.753,156.32,0.0,733.674,222.704,453.186,379.047
tess_04.png,152.948,367.087,533.368,139.607,808.659,635.505,457.926,65.123,160.112,254.018,623.029,763.01,733.674,0.0,545.045,297.397,367.696
tess_05.png,494.398,178.003,131.244,573.4,287.021,148.862,171.959,480.009,385.001,291.172,78.006,218.277,222.704,545.045,0.0,306.132,244.364
tess_06.png,198.04,160.705,250.008,279.065,529.213,355.006,170.144,238.835,165.424,136.528,378.917,515.537,453.186,297.397,306.132,0.0,74.33
tess_07.png,272.017,134.733,176.071,353.001,455.07,281.044,96.0,306.791,224.401,166.868,313.121,446.839,379.047,367.696,244.364,74.33,0.0
